id,text,label,Comments
36,The Bangladesh Nationalist Party (BNP) is planning to organise an event engaging relatives of sentenced and jailed leaders 'deprived of justice' in a bid to draw attention of the High Court.,neutral,
37,This particular programme may be executed in Dhaka in the near future.,neutral,
38,Information on this development was gleaned from discussions with several responsible leaders of BNP and their like-minded allies.,neutral,
39,The leaders indicated that the introduction of such a event is being weighed to introduce a shift in the ongoing hartal and blockade strategy.,neutral,
40,"The BNP's primary emphasis lies on preserving party unity and solidarity. Concurrently, there is a concerted effort to bolster the effectiveness of the ongoing movement.",neutral,
41,"49 BNP men including Habibun Nabi, Azizul Bari sentenced",,
42,"The party will continue its hartal and blockade programmes. Simultaneously, the BNP is contemplating organising a nationwide protest march on the last day of filing nomination papers, scheduled for 30 November.",negative,
43,"BNP insiders have expressed concerns that the government may be moving towards holding 'one-sided' elections forcefully. Consequently, BNP's policymakers advocate for the continuation of a stringent programme until the last day for the submission of nomination papers on 30 November.",positive,
44,"He highlighted that political leaders are being recruited into the ruling party with promises of financial gain and the prospect of becoming Members of Parliament, often through the state intelligence agencies. Some of these politicians, acquired through financial transactions, have reportedly expressed concerns about their future.",neutral,
45,"Following this, a new programme is slated to be implemented leading up to the polling day on 7 January. During the initial part of December, it is anticipated that there might not be a sustained strike and blockade programme.",positive,
46,"During this period, some participating parties in the simultaneous movement are proposing alternative events such as protests and rallies. Larger programmes are in the planning stages around 7 January.",negative,
47,The Bangladesh Nationalist Party (BNP) is planning to organise an event engaging relatives of sentenced and jailed leaders 'deprived of justice' in a bid to draw attention of the High Court.,positive,
48,This particular programme may be executed in Dhaka in the near future.,neutral,
49,Information on this development was gleaned from discussions with several responsible leaders of BNP and their like-minded allies.,neutral,
50,The Bangladesh Nationalist Party (BNP) is planning to organise an event engaging relatives of sentenced and jailed leaders 'deprived of justice' in a bid to draw attention of the High Court.,positive,
51,The leaders indicated that the introduction of such a event is being weighed to introduce a shift in the ongoing hartal and blockade strategy.,neutral,
52,"The BNP's primary emphasis lies on preserving party unity and solidarity. Concurrently, there is a concerted effort to bolster the effectiveness of the ongoing movement",neutral,
53,"49 BNP men including Habibun Nabi, Azizul Bari sentenced",positive,
54,"The party will continue its hartal and blockade programmes. Simultaneously, the BNP is contemplating organising a nationwide protest march on the last day of filing nomination papers, scheduled for 30 November.",negative,
55,"BNP insiders have expressed concerns that the government may be moving towards holding 'one-sided' elections forcefully. Consequently, BNP's policymakers advocate for the continuation of a stringent programme until the last day for the submission of nomination papers on 30 November.",positive,
56,"He highlighted that political leaders are being recruited into the ruling party with promises of financial gain and the prospect of becoming Members of Parliament, often through the state intelligence agencies. Some of these politicians, acquired through financial transactions, have reportedly expressed concerns about their future.",negative,
57,"Following this, a new programme is slated to be implemented leading up to the polling day on 7 January. During the initial part of December, it is anticipated that there might not be a sustained strike and blockade programme.",positive,
58,"During this period, some participating parties in the simultaneous movement are proposing alternative events such as protests and rallies. Larger programmes are in the planning stages around 7 January.",neutral,
59,"It's worth noting that the majority of BNP's offices nationwide, including the central office in Naya Paltan, have remained closed for almost a month since the grand rally in Dhaka on 28 October.",neutral,
60,"Many central leaders are currently in hiding to evade arrest as they face accusations in various cases. Given this challenging situation, the leaders aim to navigate through the last day of submission of nomination papers.",negative,
61,"According to sources at the BNP, the government's attempts to influence the two new parties, Trinamool BNP and Bangladesh Nationalist Movement (BNM), through pressure, intimidation, and enticement have not yielded significant success so far. The number of individuals joining these two new parties is reportedly not substantial. >",neutral,
62,"Given this scenario, there is a speculation that the government may resort to pressuring key leaders of BNP to run as independent candidates in the election or join Trinamool BNP and BNM. This fear has led many individuals to refrain from publicly declaring their intentions until the last day of submission of nomination papers.",negative,
63,"However, during a virtual news briefing yesterday, BNP's senior joint secretary general, Ruhul Kabir Rizvi, stated that the ruling party (AL) cannot coerce principled and patriotic politicians.",neutral,
64,"More than 410 leaders and activists, according to BNP, were arrested across the country in the last 24 hours until Thursday afternoon, and 17 more lawsuits were filed on Thursday. According to the BNP central office, a total of 15,600 leaders and activists have been arrested so far centering the BNP’s grand rally held in Naya Paltan on 28 October, and 384 lawsuits were filed during this period.",neutral,
65,"According to reports sent by Prothom Alo correspondents, as of Thursday, 9,564 leaders and activists of BNP including 3,104 from Dhaka, have been arrested across the country since 28 October.",neutral,
66,"BNP secretary general Mirza Fakhrul Islam Alamgir was arrested on 29 October, which followed the arrest of two standing committee members, Mirza Abbas and Amir Khasru Mahmud Chowdhury, three vice-chairmen Shahjahan Omar, Altaf Hossain Chowdhury and Shamsuzzaman, two joint secretaries general Syed Moazzem Hossain and Khairul Kabir, three organisational secretaries Emran Saleh, Ruhul Quddus Talukdar and Bilkis Jahan, who was released on bail recently, and central leader Zahir Uddin Swapan. Central leaders are no longer seen in the open.",neutral,
67,"BNP has been waging its movement peacefully for over a year demanding the parliamentary election under a neutral government, but police launched arrest drives against the party leaders and activists following the violence and clashes centring the 28 October rally. Since then, party leaders and activists have been operating the movement for for the ouster of the government and the cancellation of the election schedule from unknown locations. Vehicles were torched and vandalised, as well as clashes took place during these programmes.",neutral,
68,"BNP standing committee member Abdul Moyeen Khan said in a statement on Thursday the government plans to perform a farcical election, and his party wants to restore the democratic ideology by continuing the people’s movement.",neutral,
69,"BNP leaders alleged the government has launched a crackdown on BNP after 28 October to hold another one-sided election. Party leaders and activists were also sentenced in old cases. Lastly, 179 leaders and activists were sentenced in five cases in Dhaka on Thursday. BNP claimed already nine party men have given death penalty and more than 419 leaders and activists sentenced to different terms in 27 cases.",neutral,
70,"However, home minister Assaduzzaman Khan said on Thursday the number of lawsuits and arrests has dropped across the country centering the BNP 28 October rally. Replying to queries, he told the journalists that, before 28 October, about 2,000 people had been arrested and sent to jail across the country daily, as well as about 2,000 people were released daily, but the figure dropped to 1,816 after 28 October. A total of 565 cases were filed across the country before 28 October, and the figure dropped by 127 to 438 cases a day.",neutral,
71,"Case, arrest, hiding",negative,
72,"Forty-seven cases were filed against leaders and activists of BNP in Jamalpur in less a year. More than 100 party men are behind bars in these cases. However, all leaders and activists have now gone into hiding since the fire incident at the Jamuna Express near the Sarishabari railway station, 35 kilometres away from Jamalpur town, on 18 November. Forty-one top leaders of the party including district BNP president Faridul Kabir Talukder and general secretary Shah Md Wares Ali Mamun were named in this case.",negative,
73,"BNP’s Jamalpur unit organising secretary Shafiqul Islam Khan told Prothom Alo over mobile phone, “Even a crazy person won't believe that the party's top leaders set fire to the train at around 1:00am at a place which is 35 kilometres away from the district town. Jamalpur city unit president Liakat Ali was arrested in this incident, but he was at home at that night, and there is also CCTV footage.”",neutral,
74,"Police arrested BNP’s Tangail district unit general secretary Farhad Iqbal on 9 November in a case that police filed on allegations of creating panic by exploding crude bombs, as well as attacking police during shutdown (hartal). Twenty three people including Farhad Iqbal and BNP’s district unit president Hasanuzzaman Shahim were named and 12 unidentified people were made accused in this case. Since then, almost all leaders of BNP and its associate bodies have left the localities.",negative,
75,"Cases were also filed in Mirzapur, Nagarpur, Kalihati, Delduar and Gopalpur areas. District BNP leaders said leaders and activists from district, upazila and union level cannot stay at home as police raid almost every night.",positive,
76,"In Narsingdi, police filed at least 50 cases against more than 1,500 leaders and activists of BNP and its associate bodies in six upazilas recently. Sixty of them were behind bars. BNP’s district unit convener and central joint secretary general Khairul Kabir Khokon faced several cases in Dhaka and five lawsuits in Narsingdi.",positive,
77,"BNP secretary general Mirza Fakhrul Islam Alamgir is from Thakurgaon district, and all leaders of BNP and its associated bodies have went t into hiding in the this district. In the meantime, police arrested the Jubo Dal secretary general.",positive,
78,"BNP senior joint secretary general Ruhul Kabir Rizvi has been announcing the party programmes at virtual press conferences from unknown locations. He said on Thursday leaders and activists of BNP, its associate bodies and like-minded parties are being tortures and arrested arbitrarily.",neutral,
79,Bangladesh arrest thousands in 'violent' crackdown: HRW,positive,
80,715 arrested on charges of sabotage since 28 Oct: RAB,positive,
81,BNP chairperson's adviser Ataur arrested,neutral,
82,Conviction spree ahead of election: 68 BNP men sentenced in one day,neutral,
83,BNP Vice Chairman Habibur Rahman arrested,neutral,
84,"49 BNP men including Habibun Nabi, Azizul Bari sentenced",neutral,
85,Why have small parties gained so much importance?,neutral,
86,Fictitious cases and arbitrary arrests: Political misuse of criminal law,negative,
87,"The Detective Branch (DB) of police faced challenges in securing remand for questioning Mia Arefi, also known as Zahidul Islam, the alleged adviser of US President Joe Biden, for a period of 23 days.",negative,
88,The court on 2 November granted a five-day remand for him for interrogation.,positive,
89,"Mia Arefi was apprehended at Shahjalal International Airport on 29 October in connection with a case filed at Paltan police station, involving charges of impersonation and breach of trust through false identity.",positive,
90,"The Detective Branch (DB) of police faced challenges in securing remand for questioning Mia Arefi, also known as Zahidul Islam, the alleged adviser of US President Joe Biden, for a period of 23 days.",neutral,
91,The court on 2 November granted a five-day remand for him for interrogation.,positive,
92,"Mia Arefi was apprehended at Shahjalal International Airport on 29 October in connection with a case filed at Paltan police station, involving charges of impersonation and breach of trust through false identity.",positive,
93,"Lieutenant General (retd.) Chowdhury Hasan Sarwardy, another accused in the same case, completed an eight-day remand and is currently in prison.",neutral,
94,The Dhaka Metropolitan Police’s DB is overseeing the investigation.,neutral,
95,"According to a source within the DB, Mia Arefi could not be remanded due to the lack of permission from a higher authority.",negative,
96,"Meanwhile, information gathered during the remand interrogation of Chowdhury Hasan Sarwardy is under scrutiny.",neutral,
97,"However, a source connected to the investigation reveals that the progress of the case has stalled.",negative,
98,Officials from the Motijheel Division of DB declined to provide details on the case’s advancement.,negative,
99,A man was killed and another injured in a blast in Lalmohan upazila of Bhola.,negative,
100,The incident occurred at midnight on Tuesday in the house of Azahar Majhi adjacent to Janata Bazar area in the Dhaligournagar union of the upazila.,neutral,
101,The locals say the two persons sustained serious injuries while making bombs. One of them died on the way to hospital.,negative,
102,"The deceased was identified as Md Monir Bayati, 47 and the name of the injured is Md Firoz, 35, son of local Aziullah Majhi.",neutral,
103,Firoz has been undergoing treatment at a hospital in Dhaka.,neutral,
104,"District police super (SP) Md Mahiduzzaman told Prothom Alo on Tuesday morning, “We are not sure whether they were injured in the blast while making bombs or somebody hurled it at them.",neutral,
105,"We are still investigating. Members of the police have been deployed at the spot.""",neutral,
106,"The house, where the incident happened, is owned by Azharul Islam Majhi, 65, of the area. His son Shariful Islam alias Joy is the general secretary of Dhaligournagar union Chhatra League.",neutral,
107,His father said the incident took place in Shariful’s room.,neutral,
108,"Speaking to Prothom Alo on Tuesday, Azharul Islam said he was asleep at around 12.00 am. He was awakened by the sound of the blast.",neutral,
109,He saw his son’s room was completely destroyed and his daughter-in-laws were running in panic with his grandchildren.,negative,
110,His sons were not at home.,neutral,
111,At first he could not clearly see due to the smoke.,neutral,
112,"Later, they saw Monir Bayati and Md Firoz lying wounded after the smoke cleared up.",neutral,
113,"Residential medical officer of the Lalmohan Upazila Health Complex, Md Mhosin told Prothom Alo over the phone that police came here with a deceased person.",neutral,
114,They took the body after being confirmed of his death.,positive,
115,"Dhaligournagar union parishad (UP) member Md Salauddin said, “Monir Bayati has long been known as a bomb maker in the area.”",negative,
116,Jatiya Party leaders are tensed about the party’s performance in the upcoming 12th parliamentary polls as the feuds between its two top leaders – Chairman GM Quader and chief patron Raushan Ershad – have not yet been settled down.,negative,
117,"The party’s Secretary General Mujibul Haque Chunnu, however, claimed that there has been no internal conflict in the party.",positive,
118,"A Jatiya Party presidium member loyal to Raushan Ershad on condition of anonymity told the Daily Sun, “In the meeting between the party chairman and its chief patron, the conflict was not resolved over the seat sharing issue.”",negative,
119,The second day of the 48-hour nationwide blockade enforced by BNP and like-minded opposition parties is underway amid arson attacks,negative,
120,Miscreants set fire to a bus in Mohadevpur upazila of Naogaon on Sunday night,negative,
121,Law enforcers were seen patrolling the streets and remained deployed at important points in Dhaka. As many as 230 platoons of the Border Guard Bangladesh (BGB) have been deployed across the country to maintain law and order,positive,
122,"Road, Transport and Bridge minister Obaidul Quader on Friday said that having failed in their political movement, BNP now chose the path of devastating the country’s economy.",negative#neutral,
123,"Obaidul Quader said BNP is now carrying out hidden attacks, sabotage, and vandalism of vehicles",negative,
124,"Shakib Al Hasan will do politics and serve the people. He can compete anywhere in Bangladesh,” he said.",positive,
125,"BNP Standing Committee will sit on 27 November to discuss the issue and finalise their decision about the mode of movement programmes, party sources said.",neutral,
126,“It’s difficult to say right now whether there’ll be alternative programmes or not.,negative#neutral,
127,"However, different types of programmes may come in the days to come based on the situation,” BNP Standing Committee member Selima Rahman told the Daily Sun.",neutral,
128,She alleged that ruling party men are torching vehicles and exploding crude bombs during their hartal and blockade programmes and the opposition leaders and activists are being arrested after shifting the blame on them.,negative,
129,"The government is now playing different games. Let them play the games. We’ll continue our movement until our demand is realised,” the BNP policymaker added.",positive,
130,BNP on Thursday announced their 7th phase of countrywide blockade for 48 hours beginning at 6am on Sunday,negative,
131,"Hartals and blockades spanning almost a month were marked with violence, including torching and ransacking of vehicles, across the country while crude bombs were also exploded by unidentified miscreants at different places",negative,
132,"The vehicular movement was almost normal in different parts of the country, particularly Dhaka city, during the past three spells of blockade.",positive,
133,"However, on the second day of blockade, the traffic movement was normal at different areas of the country particularly in the Dhaka city",positive,
134,Fire service sources said at least seven vehicles were set on fire at different places of the country on Wednesday and Thursday,negative,
135,A coach of Upaban Express standing in Sylhet Railway Station was caught fire in what police suspect was an arson attack.,negative,
136,"The incident took place at around 9:00pm on Wednesday, witnesses and fire service sources said.",neutral,
137,Prime Minister Sheikh Hasina on Sunday said her government wants to build Bangladesh as a developed country and enrich it with knowledge and science by maintaining global standards.,positive,
138,"Shahjahan Omar, vice chairman of the Bangladesh Nationalist Party (BNP), has walked out of jail after securing bail in a case filed over torching buses.",neutral,
139,"His lawyer and BNP leader Masud Ahmed Talukder confirmed the news to Prothom Alo, saying he was released from the Dhaka Central Jail in Keraniganj around 6:00 pm on Wednesday.",positive,
140,"The police arrested Shahjahan Omar on 4 November, in a case filed with the New Market police station over torching buses.",positive,
141,"Later, the chief metropolitan magistrate’s (CMM) court in Dhaka put him on a three-day remand",positive,
142,Star cricketer Shakib Al Hasan visited his hometown Magura for the first time after becoming Awami League candidate from Magura-1 for the 12th parliamentary election on Wednesday.,positive,
143,He breached the electoral code of conduct multiple times on the first day.,negative,
144,Information and broadcasting minister and Awami League (AL) joint general secretary Hasan Mahmud on Tuesday said the people of the country want BNP to shun terrorist activities and take part in the upcoming general election.,positive,
145,"""We want that BNP would come out of destructive evil politics and terrorist activities.",positive,
146,"We also want the party to join the next general election,"" he said while replying to a query of reporters at his office at secretariat here.",positive,
147,"Bangladesh's beleaguered opposition says the winner of the next general election will be no surprise: Prime Minister Sheikh Hasina, credited with turning around the economy but called authoritarian by opponents, is set for her fourth straight term.",positive,
148,"There have been no talks with Jatiya Party (JaPa) over seat sharing, claimed Awami League general secretary Obaidul Quader.",neutral,
149,"When asked why there was such a hush-hush over the talks with Jatiya Party, Obaidul Quader said, ""There is no hush-hush, but again, it is nothing to flaunt about either.",neutral,
150,An engineer from India and his wife have died as a private car and truck co>llided head-on in Satkhira.,negative,
151,"Uttam Mitra, inspector of Satkhipra’s Katia outpost said Asim Kumar Biswas was an engineer of the under construction Khulna-Mongla rail line.",neutral,
152,They would live in Khulna. The couple was going to Bhomra land port in a private car as they planned to go to India today.,neutral,
153,"The bodies were kept at Satkhira Sadar Hospital, he added.",neutral,
154,"Saiful Islam, on duty physician at the hospital, said three people were brought to !the emergency unit at around 8:30am.",neutral,
155,Two of them were brought dead while the other is undergoing treatment at the hospital.,neutral,
156,"Seven people of a family including three children were killed and two others injured in a head-on-collision between a bus and CNG-run auto-rickshaw in Hathazari upazila of Chattogram on Tuesday, police said.",negative,
157,The accident took place on Chattogram-Khagrachhari regional highway at the Board School area of ward 7 of Mirzapur union of the upazila around 12:00pm.,negative,
158,Police could not disclose details of the deceased and the injured immediately.,negative,
159,"The local public representative said the victims were passengers of the auto-rickshaw and they were going to Fatikchhari from Rawshan Hat of Patia, and the vehicle collided head-on with bus bound for Chattogram city.",negative,
160,Seven people die after a bus collided with a CNG-run auto-rickshaw in Hathajari upazila of Chattogram on 7 November 2023.,negative,
161,Locals said the auto-rickshaw has been sandwiched in the impact of the collision. Two people were rescued and sent to Chattogram Medical College Hospital.,positive,
162,"Mirzapur union parishad chairman Akther Hossain Khan told Prothom Alo around 12:30pm from the spot that seven people died in the accident. Of them, three were men, three children and a woman. The bodies have been kept on a side of the road for now, he added.",negative,
163,Akther Hossain Khan said they were assisting the administration in the rescue operation.,positive,
164,Seven people die after a bus collided with a CNG-run auto-rickshaw in Hathajari upazila of Chattogram on 7 November 2023.,negative,
165,Nazirhat highway police station officer-in-charge (OC) Adil Mahmud told Prothom Alo seven people of a family were killed in this road crash while they were on their way to the Maizbhandari shrine from Patia.,negative,
166,"Details of the deceased were immediately unavailable, he added.",negative,
167,"Dhaka is currently the most dangerous city in the country for pedestrians, with one-fourth of the annual road accident-related fatalities occurring among pedestrians.",negative,
168,"Over the past three years, both the number of accidents and deaths in Dhaka have seen a significant and alarming increase, with pedestrians being the primary victims.",negative,
169,Dhaka's road infrastructure is already insufficient to meet the growing demands.,negative,
170, The availability of walkways or footpaths falls far short of what is needed.,negative,
171,"The total length of roads in Dhaka North and South City is just a little over 2,000 kilometres, whereas there are only about 600 km of footpaths.",negative,
172,"Furthermore, many of the existing sidewalks are unusable.",negative,
173,Experts specialising in road safety have pointed out that Dhaka's roads are far from being pedestrian-friendly.,negative,
174,"Many of the footpaths have also been illegally encroached upon, compelling pedestrians to walk on the main road.",negative,
175," Additionally, a lack of awareness among pedestrians is another contributing factor to the problem.",negative,
176,"Furthermore, the absence of a modern signaling system on the roads forces pedestrians to take risks when crossing intersections, resulting in a high rate of pedestrian fatalities in traffic accidents in Dhaka.",negative,
177,Frequent incidents of people being hit by buses and other vehicles while crossing the road are unfortunately common in Dhaka city.,negative,
178,"One such tragic incident occurred on 24 November, 2021, when Naeem Hasan, a student at Notre Dame College, lost his life after being hit by a garbage truck from the Dhaka South City Corporation while crossing the road in Gulistan.",negative,
179,"The Awami League today unveiled the list of its nominees for the 298 constituencies for the next general elections, slated to be held on January 7.",positive,
180,The ruling party dropped its 71 incumbent lawmakers.,negative,
181,Two nomination forms were collected on behalf of former MP and BNP's Narayanganj district unit convener Muhammad Gias Uddin and his son Muhammad Kaisar from the district returning officer's office today.,positive,
182,"Mohammod Mahmudul Hoque, returning officer of Narayanganj, confirmed the matter to our local correspondent tonight.",neutral,
183,"An unknown person collected the forms for Gias Uddin and Kaisar to participate in the national election as independent candidates in the Narayanganj-4 constituency, he said.",neutral,
184,A clash between police and BNP men left two activists dead in Kishoreganj while a Jubo Dal leader fleeing police on a motorcycle died after crashing into a tree in Sylhet on the first day of BNP-Jamaat’s nationwide blockade yesterday.,negative,
185,"Clashes involving the Awami League, the BNP and law enforcers were also reported in Bogura, Narayanganj and Manikganj. At least 66 people, including 18 policemen, were injured.",negative,
186,"In the capital, four buses were set on fire near Jatiya Press Club, Postagola, Madhya Badda, and Basabo. Arsonists also set alight a lorry and three motorcycles in Bogura, several vehicles in Rajbari and a truck in Raiganj, Sirajganj, according to firefighters.",negative,
187,"The BNP and Jamaat separately called the three-day countrywide blockade of roads, railways, and waterways in protest of what the parties said were police action on their events and arrests of activists.",negative,
188,Transport association leaders said long-haul bus services remained mostly suspended due to shortage of passengers. Buses on local and regional routes operated in small numbers.,neutral,
189,"Teams of police, Border Guard Bangladesh, and Rab patrolled the roads and highways across the country.",positive,
190,"40, and Chhatra Dal leader Refayet Ullah Tanoy, 21, died after they were shot by officers during a clash between BNP activists and police, said leaders of the party.",negative,
191,"At least 40 people, including 15 policemen, were injured during the clash.",negative,
192,"At one stage, police tried to leave the spot, but the attackers threw bricks at them after the policemen took shelter at an abandoned house, the SP said, adding that officers then opened fire in self-defence.",negative,
193,"Jubo Dal leader Gilu Ahmed Dilu, 42, who was among the protesters, was fleeing on his motorcycle, but he lost control and crashed into a tree, said Moksud Ahmed, general secretary of Sylhet District Jubo Dal.",negative,
194,"“Police took Gilu to a police station even though he was critically injured. They later took him to Sylhet MAG Osmani Medical College Hospital where he died in the afternoon,” he added.",negative,
195,At least 15 BNP and Awami League activists were injured in Bogura town and Shajahanpur upazila as the two camps clashed on Dhaka-Rangpur highway.,negative,
196,South Surma Police Station officer-in-charge was injured in an accidental fire of a weapon at Satmile in Lalabazar area of South Surma upazila of Sylhet yesterday morning.,negative,
197,Md Shamsuddoha was hit by a shot accidentally fired from the shotgun of the personal assistant to the assistant commissioner of police of South Surma Police Station.,negative,
198,Deputy Commissioner of Sylhet Metropolitan Police (SMP) Azbahar Ali Sheikh confirmed the matter.,neutral,
199,"“It’s not a big deal. He has been given first aid and is doing his duty now,” Azbahar Ali Sheikh said.",,
200,Police yesterday recovered a man’s body from a pond near his residence three days after his disappearance in Khulna’s Daulatpur upazila.,negative,
201,"The deceased was identified as Rohanur Rahman Rohan, 21, son of Hasan Kha of Banik Para area.",neutral,
202,"On Monday, a general diary (GD) was recorded at Daulatpur Police Station in this connection.",neutral,
203,"Kazi Kamal Hossain, officer-in-charge of Daulatpur Police Station, said, “The deceased’s body was sent to Khulna Medical College Hospital for an autopsy. The cause of his death was not apparent immediately.”",neutral,
204,"The BNP is planning to intensify its oust-government movement by blending hartals and blockades with programmes like sit-ins right after the announcement of the election schedule, party insiders said.",negative,
205,A 14-year-old Bangladeshi boy was shot dead yesterday by the Indian Border Security Force when he crossed the border along Rajshahi and entered the neighbouring territory.,negative,
206,"Samirul Islam, 14, son of Hasibul Islam of Ashriadaha area under Godagari upazila, died on the spot, said Lt Col Nahid Hossain, commanding officer of 53 BGB Battalion in Chapainawabganj.",negative,
207,"The firing took place between border pillars 41/5-S and 41/6-S under BGB’s DMC border outpost at 12:15pm, said the official in a text sent to The Daily Star.",negative,
208,"BGB personnel rushed to the spot and held a flag meeting with 35 Battalion BSF at the zero line, where BGB strongly protested the killing of the child, CO Nahid told this correspondent.",positive,
209,"In response, the BSF expressed deep regret and described it as an unexpected incident.",neutral,
210,BSF officials also told the BGB that they would form an inquiry committee to investigate the incident and take action against the responsible person.,positive,
211,Prime Minister Sheikh Hasina yesterday directed to fix area and income wise electricity and water bills to reduce government subsidy.,positive,
212,"The PM directed this during the last meeting of the Executive Committee on the National Economic Council (Ecnec) in the present term of the government, Planning Minister MA Mannan said while briefing journalists.",neutral,
213,"“While a cleaner gets electricity and water at subsidised rates, Mr Mannan as a minister also gets those at the same rate, which is not justifiable,” the minister quoted the PM as saying.",negative,
214,"The PM said this is why bills of water and electricity have to be fixed area-wise, income-wise and family-wise, and directed the authorities concerned to take initiative in this regard.",positive,
215,"The country has to come out of the subsidy gradually, she added.",positive,
216,The planning minister said it may not be possible to start working on all the projects approved at yesterday’s Ecnec meeting as the Election Commission could announce schedules for the next parliamentary election anytime.,negative,
217,"In that case, the next government will start implementing the projects, he added.",neutral,
218,"At yesterday’s meeting, 44 projects with a total cost of Tk 39,344 crore were approved, of which, Tk 7,579 crore will come from foreign funds.",neutral,
219,"Regarding the approval spree of projects ahead of the national election, Planning Secretary Satyajit Karmaker said the projects which were approved yesterday were not related to the election.",neutral,
220,"“Fourteen of the total projects are revised ones. If those were not approved then their implementation might have stopped,” he said.",neutral,
221,"Besides, eight are foreign-funded. If those were not approved then their loan agreements might have been cancelled, he added.",neutral,
222,"One of the projects approved yesterday is to enhance the capacity of Dhaka Metropolitan Police by purchasing 470 security equipment, including explosive trace detector, bomb blast bean, and under equipment search mirrors, at a cost of Tk 114 crore, of which Japan will provide Tk 39 crore.",neutral,
223,"Also, a Tk 4,440 crore project “Extended Dhaka Water Supply Resilience”, the first project in Bangladesh to be funded by the New Development Bank, was approved.",positive,
224,"Besides, a Tk 1,181 crore project on “Improvement of Urban Public Health Preventive Services” was approved to strengthen the existing mosquito control unit of the Local Government Division with adequate technical support, equipment, human resources and training.",positive,
225,"The World Bank will provide Tk 1,073 crore of the project cost.",positive,
226,"Bangladesh scored miserably in an evaluation by Millennium Challenge Corporation, a US federal foreign aid agency, which concluded that the country failed to control corruption and protect democratic rights.",negative,
227,"The ranking, released on Tuesday, drastically harms Bangladesh’s chances of receiving access to grants from the MCC’s US $1.07 billion fund.",negative,
228,"Since MCC’s inception in 2004, it has provided foreign aid of over US $17 billion to 31 countries in areas including agriculture and irrigation, anti-corruption, education, energy and power, finance and enterprise development, health, land rights, transportation infrastructure, water supply, and sanitation.",neutral,
229,"Bangladesh has never been considered eligible for MCC funds.Every year, each candidate country is assessed on 20 indicators broadly covering three areas: ruling justly, investing in people, and encouraging economic freedom.",negative,
